,authors,genbankAccession,gisaidEpiIsl,originatingLab,sraAccession,strain,submittingLab,lineage
3486,,,EPI_ISL_6593923,,,hCoV-19/England/QEUH-2A8E78D/2021,,delta
3487,,,EPI_ISL_8073294,,,hCoV-19/England/NEWC-2F062E1/2021,,delta
3488,,,EPI_ISL_3809685,,,hCoV-19/England/ALDP-1C7D8AD/2021,,delta
3489,,,EPI_ISL_5790414,,,hCoV-19/England/QEUH-282E763/2021,,delta
3490,,,EPI_ISL_3174846,,,hCoV-19/England/QEUH-19E2C7D/2021,,delta
3491,,,EPI_ISL_7655066,,,hCoV-19/England/MILK-2D80D3B/2021,,delta
3492,,,EPI_ISL_5422584,,,hCoV-19/England/MILK-2773CE9/2021,,delta
3493,,,EPI_ISL_3767389,,,hCoV-19/England/MILK-1C5257A/2021,,delta
3494,,,EPI_ISL_4130040,,,hCoV-19/England/PHEP-262612/2021,,delta
3495,,,EPI_ISL_2851744,,,hCoV-19/England/HSLL-17FE092/2021,,delta
3496,,,EPI_ISL_2488526,,,hCoV-19/Scotland/QEUH-160A5C2/2021,,delta
3497,,,EPI_ISL_4407675,,,hCoV-19/England/NEWC-1E77E81/2021,,delta
3498,,,EPI_ISL_2138278,,,hCoV-19/England/MILK-1579204/2021,,delta
3499,,,EPI_ISL_5472295,,,hCoV-19/England/MILK-27D0C71/2021,,delta
3500,,,EPI_ISL_6431313,,,hCoV-19/England/MILK-2A1FE13/2021,,delta
3501,,,EPI_ISL_2722370,,,hCoV-19/England/CAMB-AAAED7/2021,,delta
3502,,,EPI_ISL_6876698,,,hCoV-19/England/MILK-2B5F933/2021,,delta
3503,,,EPI_ISL_3294691,,,hCoV-19/Wales/PHWC-PY4OXD/2021,,delta
3504,,,EPI_ISL_3972951,,,hCoV-19/England/NEWC-1BE6A22/2021,,delta
3505,,,EPI_ISL_3638303,,,hCoV-19/England/MILK-1BF3688/2021,,delta
3506,,,EPI_ISL_2905259,,,hCoV-19/Wales/PHWC-PYK3BZ/2021,,delta
3507,,,EPI_ISL_4122142,,,hCoV-19/England/PHEC-X307X956/2021,,delta
3508,,,EPI_ISL_4755041,,,hCoV-19/England/MILK-1F9D4A0/2021,,delta
3509,,,EPI_ISL_4477318,,,hCoV-19/England/NEWC-1EBC354/2021,,delta
3510,,,EPI_ISL_3772354,,,hCoV-19/England/NORT-YYBEUX/2021,,delta
3511,,,EPI_ISL_4500685,,,hCoV-19/England/HSLL-1EC3BDA/2021,,delta
3512,,,EPI_ISL_6578025,,,hCoV-19/England/ALDP-2A86FC9/2021,,delta
3513,,,EPI_ISL_7030396,,,hCoV-19/England/MILK-2C0D159/2021,,delta
3514,,,EPI_ISL_6136837,,,hCoV-19/England/PHEP-YYB1NJG/2021,,delta
3515,,,EPI_ISL_6290239,,,hCoV-19/Wales/PHWC-PR6BTB/2021,,delta
3516,,,EPI_ISL_3789782,,,hCoV-19/Wales/PHWC-PDFP7T/2021,,delta
3517,,,EPI_ISL_6978316,,,hCoV-19/England/PHEC-3T043T5B/2021,,delta
3518,,,EPI_ISL_3109644,,,hCoV-19/England/ALDP-19A9E12/2021,,delta
3519,,,EPI_ISL_5783809,,,hCoV-19/England/QEUH-2845238/2021,,delta
3520,,,EPI_ISL_7188675,,,hCoV-19/England/BRBR-2BE5CFD/2021,,delta
3521,,,EPI_ISL_8171335,,,hCoV-19/Wales/PHWC-PG8GRR/2021,,delta
3522,,,EPI_ISL_7895799,,,hCoV-19/England/MILK-2E8985E/2021,,delta
3523,,,EPI_ISL_7581320,,,hCoV-19/England/MILK-2D6CEC9/2021,,delta
3524,,,EPI_ISL_2780521,,,hCoV-19/England/MILK-17B2F24/2021,,delta
3525,,,EPI_ISL_7144818,,,hCoV-19/England/ALDP-2C33B10/2021,,delta
3526,,,EPI_ISL_3574908,,,hCoV-19/England/PHWC-PDB5DY/2021,,delta
3527,,,EPI_ISL_5612379,,,hCoV-19/England/NEWC-27F16D6/2021,,delta
3528,,,EPI_ISL_5793460,,,hCoV-19/England/MILK-27AE632/2021,,delta
3529,,,EPI_ISL_8107561,,,hCoV-19/England/MILK-2F73CF0/2021,,delta
3530,,,EPI_ISL_7487895,,,hCoV-19/England/MILK-2CFA896/2021,,delta
3531,,,EPI_ISL_4214944,,,hCoV-19/Scotland/QEUH-1DF0C0F/2021,,delta
3532,,,EPI_ISL_8119318,,,hCoV-19/Wales/PHWC-PGNTWN/2021,,delta
3533,,,EPI_ISL_6925948,,,hCoV-19/England/MILK-2BC9318/2021,,delta
3534,,,EPI_ISL_4350300,,,hCoV-19/England/MILK-1E7D577/2021,,delta
3535,,,EPI_ISL_2781470,,,hCoV-19/England/MILK-17A7BA6/2021,,delta
3536,,,EPI_ISL_6915367,,,hCoV-19/England/BRBR-2BF13DB/2021,,delta
3537,,,EPI_ISL_5998582,,,hCoV-19/England/QEUH-28C197B/2021,,delta
3538,,,EPI_ISL_5452560,,,hCoV-19/England/ALDP-278A5D5/2021,,delta
3539,,,EPI_ISL_6759415,,,hCoV-19/England/ALDP-2AF9FEF/2021,,delta
3540,,,EPI_ISL_7864363,,,hCoV-19/England/MILK-2E81917/2021,,delta
3541,,,EPI_ISL_2486022,,,hCoV-19/Scotland/QEUH-16272E6/2021,,delta
3542,,,EPI_ISL_3181337,,,hCoV-19/England/PHWC-PYO96J/2021,,delta
3543,,,EPI_ISL_6979016,,,hCoV-19/England/PHEC-3T07DTD2/2021,,delta
3544,,,EPI_ISL_4316097,,,hCoV-19/Wales/PHWC-PDUC9T/2021,,delta
3545,,,EPI_ISL_3973443,,,hCoV-19/England/NEWC-1BCDF13/2021,,delta
3546,,,EPI_ISL_5922497,,,hCoV-19/England/ALDP-2874AA1/2021,,delta
3547,,,EPI_ISL_7633063,,,hCoV-19/England/MILK-2D8928E/2021,,delta
3548,,,EPI_ISL_7631155,,,hCoV-19/England/ALDP-2DACA23/2021,,delta
3549,,,EPI_ISL_5922537,,,hCoV-19/England/ALDP-2871743/2021,,delta
3550,,,EPI_ISL_2781092,,,hCoV-19/England/ALDP-17AE091/2021,,delta
3551,,,EPI_ISL_7724816,,,hCoV-19/England/ALDP-2DC9440/2021,,delta
3552,,,EPI_ISL_3959565,,,hCoV-19/England/PHEC-V303VD9A/2021,,gamma
3553,,,EPI_ISL_2118029,,,hCoV-19/England/ALDP-1576F00/2021,,gamma
3554,,,EPI_ISL_1294650,,,hCoV-19/Scotland/QEUH-138F944/2021,,gamma
3555,,,EPI_ISL_2117840,,,hCoV-19/England/MILK-157553C/2021,,gamma
3556,,,EPI_ISL_2554494,,,hCoV-19/England/MILK-1680C47/2021,,gamma
3557,,,EPI_ISL_2706917,,,hCoV-19/England/NORW-13DCE2B/2021,,gamma
3558,,,EPI_ISL_2742380,,,hCoV-19/England/PHEC-30D71A/2021,,gamma
3559,,,EPI_ISL_3776071,,,hCoV-19/England/PHEC-T30BT961/2021,,gamma
3560,,,EPI_ISL_1333304,,,hCoV-19/England/CAMC-134E62C/2021,,gamma
3561,,,EPI_ISL_1332933,,,hCoV-19/England/CAMC-139C4DA/2021,,gamma
3562,,,EPI_ISL_2080385,,,hCoV-19/England/HSLL-155A685/2021,,gamma
3563,,,EPI_ISL_2749813,,,hCoV-19/England/PHESW-YYBYKQ3/2021,,gamma
3564,,,EPI_ISL_2749811,,,hCoV-19/England/PHESW-YYBYKOW/2021,,gamma
3565,,,EPI_ISL_2021081,,,hCoV-19/England/MILK-155E214/2021,,gamma
3566,,,EPI_ISL_1986931,,,hCoV-19/England/MILK-154E89D/2021,,gamma
3567,,,EPI_ISL_9832670,,,hCoV-19/England/LOND-YYBDACJ/2021,,gamma
3568,,,EPI_ISL_2004797,,,hCoV-19/England/MILK-1559B1E/2021,,gamma
3569,,,EPI_ISL_2316530,,,hCoV-19/England/MILK-1595F56/2021,,gamma
3570,,,EPI_ISL_3776073,,,hCoV-19/England/PHEC-T30BT98F/2021,,gamma
3571,,,EPI_ISL_3776837,,,hCoV-19/England/PHEC-U307UDE1/2021,,gamma
3572,,,EPI_ISL_1519280,,,hCoV-19/England/CAMC-14A519A/2021,,gamma
3573,,,EPI_ISL_3574505,,,hCoV-19/England/PHEC-S30AS786/2021,,gamma
3574,,,EPI_ISL_2352978,,,hCoV-19/England/MILK-15BDA0C/2021,,gamma
3575,,,EPI_ISL_2348483,,,hCoV-19/England/MILK-15A190E/2021,,gamma
3576,,,EPI_ISL_1790999,,,hCoV-19/England/MILK-1524DBC/2021,,gamma
3577,,,EPI_ISL_3573591,,,hCoV-19/England/PHEC-R308R07E/2021,,gamma
3578,,,EPI_ISL_7464022,,,hCoV-19/England/PHEC-3U0A2U3A/2021,,gamma
3579,,,EPI_ISL_1653315,,,hCoV-19/England/CAMC-14F3B17/2021,,gamma
3580,,,EPI_ISL_2237842,,,hCoV-19/Scotland/QEUH-158BEFC/2021,,gamma
3581,,,EPI_ISL_2235591,,,hCoV-19/England/MILK-1592BA0/2021,,gamma
3582,,,EPI_ISL_2199058,,,hCoV-19/Scotland/QEUH-1584251/2021,,gamma
3583,,,EPI_ISL_3777139,,,hCoV-19/England/PHEC-U30AU5C8/2021,,gamma
3584,,,EPI_ISL_2392333,,,hCoV-19/England/MILK-15D91C9/2021,,gamma
3585,,,EPI_ISL_1833823,,,hCoV-19/England/SGUH-136BD/2021,,gamma
3586,,,EPI_ISL_1699281,,,hCoV-19/England/RAND-14FA679/2021,,gamma
3587,,,EPI_ISL_1697704,,,hCoV-19/England/CAMC-15036D6/2021,,gamma
3588,,,EPI_ISL_8939102,,,hCoV-19/Turks and Caicos Islands/69632/2021,,gamma
3589,,,EPI_ISL_2128476,,,hCoV-19/England/SHEF-10E0B6C/2021,,gamma
3590,,,EPI_ISL_2118155,,,hCoV-19/England/MILK-15764A7/2021,,gamma
3591,,,EPI_ISL_2117733,,,hCoV-19/England/MILK-1575569/2021,,gamma
3592,,,EPI_ISL_2121617,,,hCoV-19/England/MILK-1565BF1/2021,,gamma
3593,,,EPI_ISL_1327564,,,hCoV-19/England/CAMC-13D2BD3/2021,,gamma
3594,,,EPI_ISL_1327504,,,hCoV-19/England/CAMC-13D4A4D/2021,,gamma
3595,,,EPI_ISL_1583760,,,hCoV-19/England/CAMC-14D4086/2021,,gamma
3596,,,EPI_ISL_5479512,,,hCoV-19/England/PHEC-3L043L5B/2021,,gamma
3597,,,EPI_ISL_1632206,,,hCoV-19/England/RAND-14E1FE3/2021,,gamma
3598,,,EPI_ISL_1332747,,,hCoV-19/England/QEUH-13AA73A/2021,,gamma
3599,,,EPI_ISL_1584044,,,hCoV-19/England/ALDP-14D3676/2021,,gamma
3600,,,EPI_ISL_2624022,,,hCoV-19/England/NORW-13DE6B8/2021,,gamma
3601,,,EPI_ISL_2239608,,,hCoV-19/England/NORT-1BB8230/2021,,gamma
3602,,,EPI_ISL_2172194,,,hCoV-19/England/MILK-15375DC/2021,,gamma
3603,,,EPI_ISL_1987187,,,hCoV-19/England/MILK-154CA02/2021,,gamma
3604,,,EPI_ISL_2446852,,,hCoV-19/England/ALDP-15F50F7/2021,,gamma
3605,,,EPI_ISL_3959944,,,hCoV-19/England/PHEC-V305V545/2021,,gamma
3606,,,EPI_ISL_1207532,,,hCoV-19/England/MILK-133E7E0/2021,,gamma
3607,,,EPI_ISL_1325431,,,hCoV-19/England/MILK-13EA464/2021,,gamma
3608,,,EPI_ISL_1327671,,,hCoV-19/England/CAMC-13D2BF1/2021,,gamma
3609,,,EPI_ISL_1327636,,,hCoV-19/England/CAMC-13D2C0D/2021,,gamma
3610,,,EPI_ISL_2541040,,,hCoV-19/England/MILK-1647A9D/2021,,gamma
3611,,,EPI_ISL_2742343,,,hCoV-19/England/PHEC-30D46E/2021,,gamma
3612,,,EPI_ISL_2749808,,,hCoV-19/England/PHESW-YYBYK1O/2021,,gamma
3613,,,EPI_ISL_1697974,,,hCoV-19/England/MILK-150955B/2021,,gamma
3614,,,EPI_ISL_2005563,,,hCoV-19/England/HSLL-153F440/2021,,gamma
3615,,,EPI_ISL_2021751,,,hCoV-19/England/RAND-155F2D7/2021,,gamma
3616,,,EPI_ISL_2021696,,,hCoV-19/England/MILK-155EF86/2021,,gamma
3617,,,EPI_ISL_1698072,,,hCoV-19/England/MILK-15095C4/2021,,gamma
3618,,,EPI_ISL_9832677,,,hCoV-19/England/LOND-YYBDAJX/2021,,gamma
3619,,,EPI_ISL_1631841,,,hCoV-19/England/RAND-14DE6A8/2021,,gamma
3620,,,EPI_ISL_2818076,,,hCoV-19/England/PHEC-L308L454/2021,,gamma
3621,,,EPI_ISL_1830142,,,hCoV-19/England/MILK-15067FE/2021,,gamma
3622,,,EPI_ISL_2080392,,,hCoV-19/England/HSLL-155AAE3/2021,,gamma
3623,,,EPI_ISL_3529997,,,hCoV-19/Scotland/QEUH-1B0246E/2021,,gamma
3624,,,EPI_ISL_1631888,,,hCoV-19/England/RAND-14DE6F3/2021,,gamma
3625,,,EPI_ISL_1740541,,,hCoV-19/England/CAMC-151FD4B/2021,,gamma
3626,,,EPI_ISL_1741412,,,hCoV-19/England/CAMC-1513512/2021,,gamma
3627,,,EPI_ISL_3292568,,,hCoV-19/England/PHEC-R304RACF/2021,,gamma
3628,,,EPI_ISL_3291772,,,hCoV-19/England/PHEC-Q305Q545/2021,,gamma
3629,,,EPI_ISL_1976763,,,hCoV-19/Northern Ireland/NIRE-0015d2/2021,,gamma
3630,,,EPI_ISL_1987296,,,hCoV-19/England/RAND-154BFF5/2021,,gamma
3631,,,EPI_ISL_1327174,,,hCoV-19/England/CAMC-13DCD88/2021,,gamma
3632,,,EPI_ISL_2021062,,,hCoV-19/England/MILK-155E618/2021,,gamma
3633,,,EPI_ISL_2903092,,,hCoV-19/England/OXON-F881D1/2021,,gamma
3634,,,EPI_ISL_2457435,,,hCoV-19/England/QEUH-160A771/2021,,gamma
3635,,,EPI_ISL_2624389,,,hCoV-19/England/NORW-13E2675/2021,,gamma
3636,,,EPI_ISL_1718434,,,hCoV-19/England/ALDP-1513A31/2021,,gamma
3637,,,EPI_ISL_1975177,,,hCoV-19/England/LOND-E6C0C/2021,,gamma
3638,,,EPI_ISL_2004447,,,hCoV-19/England/RAND-1555DA3/2021,,gamma
3639,,,EPI_ISL_1507943,,,hCoV-19/Scotland/QEUH-1448EED/2021,,gamma
3640,,,EPI_ISL_2199983,,,hCoV-19/England/CAMC-1508F9A/2021,,gamma
3641,,,EPI_ISL_2006656,,,hCoV-19/England/HSLL-1532F97/2021,,gamma
3642,,,EPI_ISL_2199984,,,hCoV-19/England/CAMC-14F3AFC/2021,,gamma
3643,,,EPI_ISL_2172155,,,hCoV-19/England/MILK-1536476/2021,,gamma
3644,,,EPI_ISL_8939101,,,hCoV-19/British Virgin Islands/69642/2021,,gamma
3645,,,EPI_ISL_2904392,,,hCoV-19/Northern Ireland/PHEC-M304MF93/2021,,gamma
3646,,,EPI_ISL_1719527,,,hCoV-19/England/CAMC-150D4A5/2021,,gamma
3647,,,EPI_ISL_2446920,,,hCoV-19/England/ALDP-15F5543/2021,,gamma
3648,,,EPI_ISL_2515605,,,hCoV-19/England/ALDP-163A13E/2021,,gamma
3649,,,EPI_ISL_1084155,,,hCoV-19/England/MILK-12BE804/2021,,gamma
3650,,,EPI_ISL_1116310,,,hCoV-19/England/CAMC-1293C09/2021,,gamma
3651,,,EPI_ISL_2624052,,,hCoV-19/England/NORW-13DE9BF/2021,,gamma
3652,,,EPI_ISL_1329244,,,hCoV-19/England/CAMC-13B80D4/2021,,gamma
3653,,,EPI_ISL_2706882,,,hCoV-19/England/NORW-13DCB15/2021,,gamma
3654,,,EPI_ISL_2749816,,,hCoV-19/England/PHESW-YYBYKXZ/2021,,gamma
3655,,,EPI_ISL_2512526,,,hCoV-19/England/MILK-162F49D/2021,,gamma
3656,,,EPI_ISL_4047056,,,hCoV-19/England/HSLL-1D4F1F3/2021,,gamma
3657,,,EPI_ISL_2520025,,,hCoV-19/England/NORW-13DC131/2021,,gamma
3658,,,EPI_ISL_1830458,,,hCoV-19/England/ALDP-15344F0/2021,,gamma
3659,,,EPI_ISL_2080492,,,hCoV-19/England/520336_B1_P0/2021,,gamma
3660,,,EPI_ISL_1377092,,,hCoV-19/England/CAMC-13EE4CA/2021,,gamma
3661,,,EPI_ISL_2021041,,,hCoV-19/England/MILK-155E733/2021,,gamma
3662,,,EPI_ISL_6283093,,,hCoV-19/England/PHEP-YYBZT14/2021,,gamma
3663,,,EPI_ISL_1327496,,,hCoV-19/England/CAMC-13D4A2F/2021,,gamma
3664,,,EPI_ISL_2514791,,,hCoV-19/England/MILK-162ADC4/2021,,gamma
3665,,,EPI_ISL_1921551,,,hCoV-19/England/MILK-1546C4E/2021,,gamma
3666,,,EPI_ISL_2706726,,,hCoV-19/England/NORW-13D5D16/2021,,gamma
3667,,,EPI_ISL_1698366,,,hCoV-19/England/CAMC-1508C75/2021,,gamma
3668,,,EPI_ISL_2118938,,,hCoV-19/England/MILK-156EC6E/2021,,gamma
3669,,,EPI_ISL_2199752,,,hCoV-19/Scotland/QEUH-157D3EF/2021,,gamma
3670,,,EPI_ISL_2005677,,,hCoV-19/England/MILK-1529BF9/2021,,gamma
3671,,,EPI_ISL_2539223,,,hCoV-19/England/MILK-1605B7A/2021,,gamma
3672,,,EPI_ISL_2022037,,,hCoV-19/England/MILK-1558186/2021,,gamma
3673,,,EPI_ISL_1454248,,,hCoV-19/England/CAMC-143E002/2021,,gamma
3674,,,EPI_ISL_2121861,,,hCoV-19/England/MILK-1563407/2021,,gamma
3675,,,EPI_ISL_2119450,,,hCoV-19/England/MILK-1567F6C/2021,,gamma
3676,,,EPI_ISL_2511323,,,hCoV-19/England/HSLL-1643FCF/2021,,gamma
3677,,,EPI_ISL_2119812,,,hCoV-19/England/MILK-1567E6F/2021,,gamma
3678,,,EPI_ISL_2512751,,,hCoV-19/England/MILK-1637368/2021,,gamma
3679,,,EPI_ISL_2253920,,,hCoV-19/England/MILK-1582BFE/2021,,gamma
3680,,,EPI_ISL_2739913,,,hCoV-19/England/PHEC-3001DD/2021,,gamma
3681,,,EPI_ISL_2741707,,,hCoV-19/England/PHEC-309BA9/2021,,gamma
3682,,,EPI_ISL_7510191,,,hCoV-19/England/PHEP-YYNE69T/2021,,gamma
3683,,,EPI_ISL_2904313,,,hCoV-19/England/PHEC-M303M7D8/2021,,gamma
3684,,,EPI_ISL_2904440,,,hCoV-19/England/PHEC-M305M369/2021,,gamma
3685,,,EPI_ISL_2671834,,,hCoV-19/Cayman Islands/26625/2021,,gamma
3686,,,EPI_ISL_2253909,,,hCoV-19/England/MILK-1582AC4/2021,,gamma
3687,,,EPI_ISL_2741730,,,hCoV-19/England/PHEC-309D1C/2021,,gamma
3688,,,EPI_ISL_14022807,,,hCoV-19/Northern Ireland/NIRE-01d222/2022,,gamma
3689,,,EPI_ISL_8939611,,,hCoV-19/Turks and Caicos Islands/79844/2021,,gamma
3690,,,EPI_ISL_1315652,,,hCoV-19/Scotland/CAMC-13D2BE2/2021,,gamma
3691,,,EPI_ISL_2080415,,,hCoV-19/England/HSLL-155A746/2021,,gamma
3692,,,EPI_ISL_1409655,,,hCoV-19/England/CAMC-142E524/2021,,gamma
3693,,,EPI_ISL_1365182,,,hCoV-19/England/CAMC-13E7537/2021,,gamma
3694,,,EPI_ISL_1377095,,,hCoV-19/England/CAMC-13EE56D/2021,,gamma
3695,,,EPI_ISL_1718906,,,hCoV-19/England/MILK-151259B/2021,,gamma
3696,,,EPI_ISL_1741405,,,hCoV-19/England/CAMC-151354F/2021,,gamma
3697,,,EPI_ISL_1104216,,,hCoV-19/Scotland/EDB14960/2021,,gamma
3698,,,EPI_ISL_1740689,,,hCoV-19/England/CAMC-151FE2A/2021,,gamma
3699,,,EPI_ISL_2742286,,,hCoV-19/England/PHEC-30D000/2021,,gamma
3700,,,EPI_ISL_3959078,,,hCoV-19/England/PHEC-U30AUDDF/2021,,gamma
3701,,,EPI_ISL_3959100,,,hCoV-19/England/PHEC-U30AUF51/2021,,gamma
3702,,,EPI_ISL_3221445,,,hCoV-19/England/MILK-1A4ACCD/2021,,gamma
3703,,,EPI_ISL_2624021,,,hCoV-19/England/NORW-13DE6A9/2021,,gamma
3704,,,EPI_ISL_2515298,,,hCoV-19/England/ALDP-15F5D1E/2021,,gamma
3705,,,EPI_ISL_1277629,,,hCoV-19/Scotland/QEUH-134BAC9/2021,,gamma
3706,,,EPI_ISL_2608287,,,hCoV-19/England/MILK-152B75D/2021,,gamma
3707,,,EPI_ISL_2004611,,,hCoV-19/England/RAND-1555E19/2021,,gamma
3708,,,EPI_ISL_1455639,,,hCoV-19/England/CAMC-13EE415/2021,,gamma
3709,,,EPI_ISL_1673030,,,hCoV-19/Scotland/QEUH-14FCBE1/2021,,gamma
3710,,,EPI_ISL_1327150,,,hCoV-19/England/CAMC-13DCC5E/2021,,gamma
3711,,,EPI_ISL_2517694,,,hCoV-19/England/LOND-135294A/2021,,gamma
3712,,,EPI_ISL_3959735,,,hCoV-19/England/PHEC-V304V83E/2021,,gamma
3713,,,EPI_ISL_2236862,,,hCoV-19/England/MILK-1574218/2021,,gamma
3714,,,EPI_ISL_1409701,,,hCoV-19/England/CAMC-141D1F7/2021,,gamma
3715,,,EPI_ISL_1698047,,,hCoV-19/England/MILK-150963A/2021,,gamma
3716,,,EPI_ISL_1653472,,,hCoV-19/England/CAMC-14F3B62/2021,,gamma
3717,,,EPI_ISL_3080980,,,hCoV-19/England/PHEC-N30ANBA8/2021,,gamma
3718,,,EPI_ISL_1329280,,,hCoV-19/England/CAMC-13B77A3/2021,,gamma
3719,,,EPI_ISL_1829361,,,hCoV-19/England/MILK-153D12D/2021,,gamma
3720,,,EPI_ISL_1730802,,,hCoV-19/England/PHWC-PYRYDA/2021,,gamma
3721,,,EPI_ISL_3291354,,,hCoV-19/England/PHEC-Q303Q88A/2021,,gamma
3722,,,EPI_ISL_4531583,,,hCoV-19/England/PHEC-Z308Z524/2021,,gamma
3723,,,EPI_ISL_1636703,,,hCoV-19/Scotland/EDB17474/2021,,gamma
3724,,,EPI_ISL_1719025,,,hCoV-19/England/MILK-1512391/2021,,gamma
3725,,,EPI_ISL_2119734,,,hCoV-19/England/ALDP-1569850/2021,,gamma
3726,,,EPI_ISL_1790811,,,hCoV-19/England/QEUH-1526C17/2021,,gamma
3727,,,EPI_ISL_2640893,,,hCoV-19/England/MILK-165CAC2/2021,,gamma
3728,,,EPI_ISL_2117967,,,hCoV-19/England/ALDP-1576DD9/2021,,gamma
3729,,,EPI_ISL_8939106,,,hCoV-19/British Virgin Islands/69644/2021,,gamma
3730,,,EPI_ISL_1104214,,,hCoV-19/Scotland/EDB14957/2021,,gamma
3731,,,EPI_ISL_2235694,,,hCoV-19/England/HSLL-15925B1/2021,,gamma
3732,,,EPI_ISL_3576431,,,hCoV-19/England/PHWC-PDYKGP/2021,,gamma
3733,,,EPI_ISL_3080300,,,hCoV-19/England/PHEC-M30BMA9B/2021,,gamma
3734,,,EPI_ISL_1699787,,,hCoV-19/England/MILK-150511F/2021,,gamma
3735,,,EPI_ISL_2446442,,,hCoV-19/England/MILK-15C9609/2021,,gamma
3736,,,EPI_ISL_9832678,,,hCoV-19/England/LOND-YYBDAMM/2021,,gamma
3737,,,EPI_ISL_5277366,,,hCoV-19/England/PHEC-3K0ABK5D/2021,,gamma
3738,,,EPI_ISL_1790765,,,hCoV-19/England/ALDP-1526A2C/2021,,gamma
3739,,,EPI_ISL_1912739,,,hCoV-19/Scotland/QEUH-153FC75/2021,,gamma
3740,,,EPI_ISL_1921677,,,hCoV-19/England/MILK-1546F18/2021,,gamma
3741,,,EPI_ISL_2317615,,,hCoV-19/England/MILK-159FF10/2021,,gamma
3742,,,EPI_ISL_2127876,,,hCoV-19/England/PHWC-PYRI6C/2021,,gamma
3743,,,EPI_ISL_1831274,,,hCoV-19/Wales/MILK-1524921/2021,,gamma
3744,,,EPI_ISL_1634918,,,hCoV-19/Scotland/QEUH-14EC1D3/2021,,gamma
3745,,,EPI_ISL_2118770,,,hCoV-19/England/ALDP-15716B5/2021,,gamma
3746,,,EPI_ISL_1374108,,,hCoV-19/England/CAMC-13FC0A7/2021,,gamma
3747,,,EPI_ISL_1518006,,,hCoV-19/England/CAMC-14B5AE7/2021,,gamma
3748,,,EPI_ISL_1084042,,,hCoV-19/England/MILK-12BE813/2021,,gamma
3749,,,EPI_ISL_1332711,,,hCoV-19/England/CAMC-13AFDE8/2021,,gamma
3750,,,EPI_ISL_1700431,,,hCoV-19/England/RAND-14F1F0E/2021,,gamma
3751,,,EPI_ISL_3291646,,,hCoV-19/England/PHEC-Q304QD5D/2021,,gamma
3752,,,EPI_ISL_2021666,,,hCoV-19/England/MILK-155ED22/2021,,gamma
3753,,,EPI_ISL_1698023,,,hCoV-19/England/MILK-15094A9/2021,,gamma
3754,,,EPI_ISL_3179251,,,hCoV-19/England/PHEC-P304PDC6/2021,,gamma
3755,,,EPI_ISL_2022533,,,hCoV-19/England/HSLL-1552720/2021,,gamma
3756,,,EPI_ISL_2395953,,,hCoV-19/England/MILK-15C1FE8/2021,,gamma
3757,,,EPI_ISL_2122825,,,hCoV-19/Scotland/QEUH-1548C00/2021,,gamma
3758,,,EPI_ISL_2568788,,,hCoV-19/England/MILK-167A84C/2021,,gamma
3759,,,EPI_ISL_2236956,,,hCoV-19/England/MILK-1574193/2021,,gamma
3760,,,EPI_ISL_1698105,,,hCoV-19/England/MILK-15096B2/2021,,gamma
3761,,,EPI_ISL_1718902,,,hCoV-19/England/MILK-1512EAF/2021,,gamma
3762,,,EPI_ISL_3291465,,,hCoV-19/England/PHEC-Q304Q142/2021,,gamma
3763,,,EPI_ISL_3291851,,,hCoV-19/England/PHEC-Q306QACD/2021,,gamma
3764,,,EPI_ISL_9832683,,,hCoV-19/England/LOND-YYBDAR3/2021,,gamma
3765,,,EPI_ISL_3642761,,,hCoV-19/Montserrat/77650/2021,,gamma
3766,,,EPI_ISL_2520234,,,hCoV-19/England/NORW-13E10C3/2021,,gamma
3767,,,EPI_ISL_3777148,,,hCoV-19/England/PHEC-U30AU67A/2021,,gamma
3768,,,EPI_ISL_2706658,,,hCoV-19/England/NORW-13D4C1A/2021,,gamma
3769,,,EPI_ISL_1759260,,,hCoV-19/England/MILK-151B2E6/2021,,gamma
3770,,,EPI_ISL_3080974,,,hCoV-19/England/PHEC-N30ANB4E/2021,,gamma
3771,,,EPI_ISL_1741477,,,hCoV-19/England/MILK-15178BB/2021,,gamma
3772,,,EPI_ISL_1759891,,,hCoV-19/England/MILK-151BA1B/2021,,gamma
3773,,,EPI_ISL_1759893,,,hCoV-19/England/MILK-151B35C/2021,,gamma
3774,,,EPI_ISL_1831282,,,hCoV-19/Wales/MILK-15248AC/2021,,gamma
3775,,,EPI_ISL_1833931,,,hCoV-19/England/TFCI-270A43A/2021,,gamma
3776,,,EPI_ISL_1374280,,,hCoV-19/England/RAND-13FE1B1/2021,,gamma
3777,,,EPI_ISL_2117614,,,hCoV-19/England/ALDP-1575CEC/2021,,gamma
3778,,,EPI_ISL_2809112,,,hCoV-19/England/MILK-179F41F/2021,,gamma
3779,,,EPI_ISL_1187189,,,hCoV-19/England/CAMC-13289B6/2021,,gamma
3780,,,EPI_ISL_1921451,,,hCoV-19/England/MILK-1546F27/2021,,gamma
3781,,,EPI_ISL_2749815,,,hCoV-19/England/PHESW-YYBYKT1/2021,,gamma
3782,,,EPI_ISL_2437005,,,hCoV-19/Scotland/MILK-15BB37C/2021,,gamma
3783,,,EPI_ISL_6026866,,,hCoV-19/England/PHEC-3P0B4P06/2021,,gamma
3784,,,EPI_ISL_3004254,,,hCoV-19/Northern Ireland/PHEC-M30AM6F2/2021,,gamma
